Time-stamp: 5 s, Heart Rate: 3.00 BPM
Time-stamp: 11 s, Heart Rate: 49.59 BPM
Time-stamp: 11 s, Heart Rate: 49.07 BPM
Time-stamp: 11 s, Heart Rate: 48.76 BPM
Time-stamp: 11 s, Heart Rate: 48.72 BPM
Time-stamp: 11 s, Heart Rate: 48.72 BPM
Time-stamp: 11 s, Heart Rate: 48.90 BPM
Time-stamp: 11 s, Heart Rate: 49.08 BPM
Time-stamp: 11 s, Heart Rate: 49.04 BPM
Time-stamp: 11 s, Heart Rate: 48.96 BPM
Time-stamp: 11 s, Heart Rate: 48.72 BPM
Time-stamp: 11 s, Heart Rate: 48.78 BPM
Time-stamp: 11 s, Heart Rate: 48.88 BPM
Time-stamp: 11 s, Heart Rate: 48.88 BPM
Time-stamp: 11 s, Heart Rate: 48.22 BPM
Time-stamp: 11 s, Heart Rate: 47.97 BPM
Time-stamp: 11 s, Heart Rate: 47.72 BPM
Time-stamp: 11 s, Heart Rate: 47.44 BPM
Time-stamp: 11 s, Heart Rate: 47.13 BPM
Time-stamp: 11 s, Heart Rate: 46.88 BPM
Time-stamp: 12 s, Heart Rate: 46.65 BPM
Time-stamp: 12 s, Heart Rate: 46.54 BPM
Time-stamp: 12 s, Heart Rate: 47.01 BPM
Time-stamp: 12 s, Heart Rate: 46.63 BPM
Time-stamp: 12 s, Heart Rate: 46.70 BPM
Time-stamp: 12 s, Heart Rate: 47.14 BPM
Time-stamp: 12 s, Heart Rate: 46.84 BPM
Time-stamp: 12 s, Heart Rate: 47.61 BPM
Time-stamp: 12 s, Heart Rate: 47.82 BPM
Time-stamp: 12 s, Heart Rate: 47.88 BPM
Time-stamp: 12 s, Heart Rate: 47.88 BPM
Time-stamp: 12 s, Heart Rate: 48.30 BPM
Time-stamp: 12 s, Heart Rate: 48.20 BPM
Time-stamp: 12 s, Heart Rate: 48.26 BPM
Time-stamp: 12 s, Heart Rate: 48.69 BPM
Time-stamp: 12 s, Heart Rate: 48.74 BPM
Time-stamp: 12 s, Heart Rate: 47.98 BPM
Time-stamp: 12 s, Heart Rate: 47.32 BPM
Time-stamp: 12 s, Heart Rate: 47.02 BPM
Time-stamp: 12 s, Heart Rate: 46.82 BPM
Time-stamp: 12 s, Heart Rate: 46.51 BPM
Time-stamp: 12 s, Heart Rate: 46.18 BPM
Time-stamp: 12 s, Heart Rate: 46.21 BPM
Time-stamp: 12 s, Heart Rate: 46.79 BPM
Time-stamp: 12 s, Heart Rate: 46.75 BPM
Time-stamp: 12 s, Heart Rate: 46.81 BPM
Time-stamp: 12 s, Heart Rate: 47.36 BPM
Time-stamp: 12 s, Heart Rate: 47.48 BPM
Time-stamp: 12 s, Heart Rate: 48.06 BPM
Time-stamp: 12 s, Heart Rate: 48.88 BPM
Time-stamp: 13 s, Heart Rate: 48.99 BPM
Time-stamp: 13 s, Heart Rate: 49.20 BPM
Time-stamp: 13 s, Heart Rate: 48.80 BPM
Time-stamp: 13 s, Heart Rate: 48.95 BPM
Time-stamp: 13 s, Heart Rate: 48.50 BPM
Time-stamp: 13 s, Heart Rate: 48.25 BPM
Time-stamp: 13 s, Heart Rate: 48.00 BPM
Time-stamp: 13 s, Heart Rate: 47.77 BPM
Time-stamp: 13 s, Heart Rate: 47.26 BPM
Time-stamp: 13 s, Heart Rate: 46.92 BPM
Time-stamp: 13 s, Heart Rate: 46.81 BPM
Time-stamp: 13 s, Heart Rate: 46.51 BPM
Time-stamp: 13 s, Heart Rate: 46.17 BPM
Time-stamp: 13 s, Heart Rate: 45.36 BPM
Time-stamp: 13 s, Heart Rate: 45.77 BPM
Time-stamp: 13 s, Heart Rate: 46.02 BPM
Time-stamp: 13 s, Heart Rate: 46.33 BPM
Time-stamp: 13 s, Heart Rate: 46.24 BPM
Time-stamp: 13 s, Heart Rate: 46.28 BPM
Time-stamp: 13 s, Heart Rate: 46.53 BPM
Time-stamp: 13 s, Heart Rate: 46.73 BPM
Time-stamp: 13 s, Heart Rate: 46.89 BPM
Time-stamp: 13 s, Heart Rate: 47.41 BPM
Time-stamp: 13 s, Heart Rate: 48.16 BPM
Time-stamp: 13 s, Heart Rate: 48.82 BPM
Time-stamp: 13 s, Heart Rate: 49.07 BPM
Time-stamp: 13 s, Heart Rate: 49.59 BPM
Time-stamp: 13 s, Heart Rate: 49.75 BPM
Time-stamp: 13 s, Heart Rate: 49.81 BPM
Time-stamp: 14 s, Heart Rate: 49.75 BPM
Time-stamp: 14 s, Heart Rate: 49.70 BPM
Time-stamp: 14 s, Heart Rate: 49.70 BPM
Time-stamp: 14 s, Heart Rate: 49.73 BPM
Time-stamp: 14 s, Heart Rate: 49.04 BPM
Time-stamp: 14 s, Heart Rate: 48.51 BPM
Time-stamp: 14 s, Heart Rate: 48.28 BPM
Time-stamp: 14 s, Heart Rate: 48.45 BPM
Time-stamp: 14 s, Heart Rate: 48.10 BPM
Time-stamp: 14 s, Heart Rate: 48.13 BPM
Time-stamp: 14 s, Heart Rate: 48.33 BPM
Time-stamp: 14 s, Heart Rate: 48.44 BPM
Time-stamp: 14 s, Heart Rate: 48.07 BPM
Time-stamp: 14 s, Heart Rate: 48.14 BPM
Time-stamp: 14 s, Heart Rate: 48.30 BPM
Time-stamp: 14 s, Heart Rate: 48.58 BPM
Time-stamp: 14 s, Heart Rate: 48.74 BPM
Time-stamp: 14 s, Heart Rate: 48.70 BPM
Time-stamp: 14 s, Heart Rate: 48.80 BPM
Time-stamp: 14 s, Heart Rate: 48.80 BPM
Time-stamp: 14 s, Heart Rate: 48.80 BPM
Time-stamp: 14 s, Heart Rate: 49.62 BPM
Time-stamp: 14 s, Heart Rate: 49.06 BPM
Time-stamp: 14 s, Heart Rate: 49.72 BPM
Time-stamp: 14 s, Heart Rate: 49.94 BPM
Time-stamp: 14 s, Heart Rate: 50.46 BPM
Time-stamp: 15 s, Heart Rate: 50.37 BPM
Time-stamp: 15 s, Heart Rate: 50.37 BPM
Time-stamp: 15 s, Heart Rate: 50.20 BPM
Time-stamp: 15 s, Heart Rate: 50.22 BPM
Time-stamp: 15 s, Heart Rate: 50.56 BPM
Time-stamp: 15 s, Heart Rate: 50.85 BPM
Time-stamp: 15 s, Heart Rate: 51.10 BPM
Time-stamp: 15 s, Heart Rate: 50.96 BPM
Time-stamp: 15 s, Heart Rate: 51.20 BPM
Time-stamp: 15 s, Heart Rate: 51.36 BPM
Time-stamp: 15 s, Heart Rate: 51.31 BPM
Time-stamp: 15 s, Heart Rate: 51.31 BPM
Time-stamp: 15 s, Heart Rate: 51.67 BPM
Time-stamp: 15 s, Heart Rate: 51.67 BPM
Time-stamp: 15 s, Heart Rate: 51.58 BPM
Time-stamp: 15 s, Heart Rate: 51.64 BPM
Time-stamp: 15 s, Heart Rate: 51.25 BPM
Time-stamp: 15 s, Heart Rate: 51.00 BPM
Time-stamp: 15 s, Heart Rate: 50.23 BPM
Time-stamp: 15 s, Heart Rate: 49.36 BPM
Time-stamp: 15 s, Heart Rate: 48.70 BPM
Time-stamp: 15 s, Heart Rate: 47.75 BPM
Time-stamp: 15 s, Heart Rate: 47.03 BPM
Time-stamp: 15 s, Heart Rate: 46.48 BPM
Time-stamp: 15 s, Heart Rate: 46.23 BPM
Time-stamp: 16 s, Heart Rate: 45.99 BPM
Time-stamp: 16 s, Heart Rate: 45.84 BPM
Time-stamp: 16 s, Heart Rate: 45.78 BPM
Time-stamp: 16 s, Heart Rate: 46.51 BPM
Time-stamp: 16 s, Heart Rate: 46.94 BPM
Time-stamp: 16 s, Heart Rate: 46.25 BPM
Time-stamp: 16 s, Heart Rate: 46.66 BPM
Time-stamp: 16 s, Heart Rate: 47.58 BPM
Time-stamp: 16 s, Heart Rate: 47.85 BPM
Time-stamp: 16 s, Heart Rate: 47.53 BPM
Time-stamp: 16 s, Heart Rate: 47.53 BPM
Time-stamp: 16 s, Heart Rate: 48.18 BPM
Time-stamp: 16 s, Heart Rate: 48.11 BPM
Time-stamp: 16 s, Heart Rate: 47.20 BPM
Time-stamp: 16 s, Heart Rate: 46.45 BPM
Time-stamp: 16 s, Heart Rate: 46.08 BPM
Time-stamp: 16 s, Heart Rate: 45.81 BPM
Time-stamp: 16 s, Heart Rate: 45.31 BPM
Time-stamp: 16 s, Heart Rate: 44.72 BPM
Time-stamp: 16 s, Heart Rate: 44.22 BPM
Time-stamp: 16 s, Heart Rate: 43.99 BPM
Time-stamp: 16 s, Heart Rate: 44.92 BPM
Time-stamp: 16 s, Heart Rate: 44.53 BPM
Time-stamp: 16 s, Heart Rate: 44.15 BPM
Time-stamp: 16 s, Heart Rate: 43.79 BPM
Time-stamp: 17 s, Heart Rate: 43.95 BPM
Time-stamp: 17 s, Heart Rate: 44.10 BPM
Time-stamp: 17 s, Heart Rate: 44.36 BPM
Time-stamp: 17 s, Heart Rate: 44.70 BPM
Time-stamp: 17 s, Heart Rate: 44.89 BPM
Time-stamp: 17 s, Heart Rate: 44.34 BPM
Time-stamp: 17 s, Heart Rate: 44.12 BPM
Time-stamp: 17 s, Heart Rate: 44.49 BPM
Time-stamp: 17 s, Heart Rate: 45.01 BPM
Time-stamp: 17 s, Heart Rate: 45.11 BPM
Time-stamp: 17 s, Heart Rate: 45.16 BPM
Time-stamp: 17 s, Heart Rate: 44.00 BPM
Time-stamp: 17 s, Heart Rate: 43.82 BPM
Time-stamp: 17 s, Heart Rate: 43.89 BPM
Time-stamp: 17 s, Heart Rate: 43.85 BPM
Time-stamp: 17 s, Heart Rate: 43.36 BPM
Time-stamp: 17 s, Heart Rate: 43.18 BPM
Time-stamp: 17 s, Heart Rate: 42.91 BPM
Time-stamp: 17 s, Heart Rate: 42.91 BPM
Time-stamp: 17 s, Heart Rate: 43.54 BPM
Time-stamp: 17 s, Heart Rate: 43.95 BPM
Time-stamp: 17 s, Heart Rate: 44.07 BPM
Time-stamp: 18 s, Heart Rate: 44.18 BPM
Time-stamp: 18 s, Heart Rate: 43.80 BPM
Time-stamp: 18 s, Heart Rate: 43.54 BPM
Time-stamp: 18 s, Heart Rate: 43.16 BPM
Time-stamp: 18 s, Heart Rate: 43.04 BPM
Time-stamp: 18 s, Heart Rate: 42.62 BPM
Time-stamp: 18 s, Heart Rate: 42.08 BPM
Time-stamp: 18 s, Heart Rate: 41.47 BPM
Time-stamp: 18 s, Heart Rate: 41.58 BPM
Time-stamp: 18 s, Heart Rate: 40.78 BPM
Time-stamp: 18 s, Heart Rate: 39.92 BPM
Time-stamp: 18 s, Heart Rate: 38.99 BPM
Time-stamp: 18 s, Heart Rate: 38.69 BPM
Time-stamp: 18 s, Heart Rate: 38.33 BPM
Time-stamp: 18 s, Heart Rate: 38.08 BPM
Time-stamp: 18 s, Heart Rate: 37.51 BPM
Time-stamp: 18 s, Heart Rate: 38.26 BPM
Time-stamp: 19 s, Heart Rate: 38.19 BPM
Time-stamp: 19 s, Heart Rate: 38.34 BPM
Time-stamp: 19 s, Heart Rate: 38.34 BPM
Time-stamp: 19 s, Heart Rate: 37.96 BPM
Time-stamp: 19 s, Heart Rate: 38.22 BPM
Time-stamp: 19 s, Heart Rate: 38.47 BPM
Time-stamp: 19 s, Heart Rate: 38.13 BPM
Time-stamp: 19 s, Heart Rate: 36.99 BPM
Time-stamp: 19 s, Heart Rate: 36.49 BPM
Time-stamp: 19 s, Heart Rate: 36.13 BPM
Time-stamp: 19 s, Heart Rate: 36.35 BPM
Time-stamp: 19 s, Heart Rate: 36.53 BPM
Time-stamp: 19 s, Heart Rate: 36.63 BPM
Time-stamp: 19 s, Heart Rate: 36.75 BPM
Time-stamp: 20 s, Heart Rate: 36.89 BPM
Time-stamp: 20 s, Heart Rate: 36.84 BPM
Time-stamp: 20 s, Heart Rate: 37.45 BPM
Time-stamp: 20 s, Heart Rate: 37.61 BPM
Time-stamp: 20 s, Heart Rate: 37.72 BPM
Time-stamp: 20 s, Heart Rate: 37.72 BPM
Time-stamp: 20 s, Heart Rate: 37.67 BPM
Time-stamp: 20 s, Heart Rate: 37.72 BPM
Time-stamp: 20 s, Heart Rate: 38.83 BPM
Time-stamp: 20 s, Heart Rate: 39.06 BPM
Time-stamp: 20 s, Heart Rate: 39.20 BPM
Time-stamp: 20 s, Heart Rate: 39.29 BPM
Time-stamp: 20 s, Heart Rate: 39.72 BPM
Time-stamp: 20 s, Heart Rate: 40.29 BPM
Time-stamp: 20 s, Heart Rate: 40.33 BPM
Time-stamp: 20 s, Heart Rate: 40.91 BPM
Time-stamp: 20 s, Heart Rate: 40.01 BPM
Time-stamp: 20 s, Heart Rate: 39.41 BPM
Time-stamp: 21 s, Heart Rate: 39.07 BPM
Time-stamp: 21 s, Heart Rate: 39.52 BPM
Time-stamp: 21 s, Heart Rate: 40.39 BPM
Time-stamp: 21 s, Heart Rate: 40.45 BPM
Time-stamp: 21 s, Heart Rate: 40.01 BPM
Time-stamp: 21 s, Heart Rate: 39.63 BPM
Time-stamp: 21 s, Heart Rate: 39.89 BPM
Time-stamp: 21 s, Heart Rate: 39.71 BPM
Time-stamp: 21 s, Heart Rate: 40.20 BPM
Time-stamp: 21 s, Heart Rate: 40.86 BPM
Time-stamp: 21 s, Heart Rate: 41.89 BPM
Time-stamp: 21 s, Heart Rate: 42.80 BPM
Time-stamp: 21 s, Heart Rate: 43.43 BPM
Time-stamp: 21 s, Heart Rate: 43.21 BPM
Time-stamp: 21 s, Heart Rate: 43.21 BPM
Time-stamp: 21 s, Heart Rate: 43.21 BPM
Time-stamp: 21 s, Heart Rate: 43.76 BPM
Time-stamp: 21 s, Heart Rate: 43.25 BPM
Time-stamp: 21 s, Heart Rate: 43.83 BPM
Time-stamp: 22 s, Heart Rate: 43.83 BPM
Time-stamp: 22 s, Heart Rate: 43.52 BPM
Time-stamp: 22 s, Heart Rate: 43.74 BPM
Time-stamp: 22 s, Heart Rate: 43.27 BPM
Time-stamp: 22 s, Heart Rate: 43.27 BPM
Time-stamp: 22 s, Heart Rate: 43.50 BPM
Time-stamp: 22 s, Heart Rate: 44.09 BPM
Time-stamp: 22 s, Heart Rate: 44.94 BPM
Time-stamp: 22 s, Heart Rate: 45.31 BPM
Time-stamp: 22 s, Heart Rate: 44.84 BPM
Time-stamp: 22 s, Heart Rate: 44.62 BPM
Time-stamp: 22 s, Heart Rate: 44.62 BPM
Time-stamp: 22 s, Heart Rate: 44.47 BPM
Time-stamp: 22 s, Heart Rate: 44.38 BPM
Time-stamp: 22 s, Heart Rate: 44.38 BPM
Time-stamp: 22 s, Heart Rate: 44.28 BPM
Time-stamp: 22 s, Heart Rate: 44.38 BPM
Time-stamp: 22 s, Heart Rate: 44.33 BPM
Time-stamp: 22 s, Heart Rate: 44.28 BPM
Time-stamp: 22 s, Heart Rate: 43.87 BPM
Time-stamp: 22 s, Heart Rate: 43.16 BPM
Time-stamp: 22 s, Heart Rate: 42.91 BPM
Time-stamp: 22 s, Heart Rate: 42.18 BPM
Time-stamp: 22 s, Heart Rate: 41.44 BPM
Time-stamp: 22 s, Heart Rate: 40.83 BPM
Time-stamp: 23 s, Heart Rate: 40.62 BPM
Time-stamp: 23 s, Heart Rate: 40.62 BPM
Time-stamp: 23 s, Heart Rate: 41.16 BPM
Time-stamp: 23 s, Heart Rate: 40.97 BPM
Time-stamp: 23 s, Heart Rate: 41.84 BPM
Time-stamp: 23 s, Heart Rate: 42.41 BPM
Time-stamp: 23 s, Heart Rate: 43.07 BPM
Time-stamp: 23 s, Heart Rate: 43.07 BPM
Time-stamp: 23 s, Heart Rate: 42.40 BPM
Time-stamp: 23 s, Heart Rate: 42.21 BPM
Time-stamp: 23 s, Heart Rate: 43.10 BPM
Time-stamp: 23 s, Heart Rate: 43.69 BPM
Time-stamp: 23 s, Heart Rate: 43.85 BPM
Time-stamp: 23 s, Heart Rate: 44.41 BPM
Time-stamp: 23 s, Heart Rate: 44.54 BPM
Time-stamp: 23 s, Heart Rate: 44.69 BPM
Time-stamp: 23 s, Heart Rate: 44.58 BPM
Time-stamp: 23 s, Heart Rate: 44.63 BPM
Time-stamp: 23 s, Heart Rate: 44.94 BPM
Time-stamp: 23 s, Heart Rate: 45.76 BPM
Time-stamp: 23 s, Heart Rate: 46.32 BPM
Time-stamp: 23 s, Heart Rate: 46.57 BPM
Time-stamp: 23 s, Heart Rate: 46.85 BPM
Time-stamp: 23 s, Heart Rate: 47.29 BPM
Time-stamp: 23 s, Heart Rate: 47.60 BPM
Time-stamp: 23 s, Heart Rate: 47.07 BPM
Time-stamp: 23 s, Heart Rate: 47.40 BPM
Time-stamp: 23 s, Heart Rate: 47.77 BPM
Time-stamp: 23 s, Heart Rate: 48.27 BPM
Time-stamp: 24 s, Heart Rate: 48.24 BPM
Time-stamp: 24 s, Heart Rate: 48.27 BPM
Time-stamp: 24 s, Heart Rate: 48.26 BPM
Time-stamp: 24 s, Heart Rate: 48.32 BPM
Time-stamp: 24 s, Heart Rate: 48.97 BPM
Time-stamp: 24 s, Heart Rate: 49.73 BPM
Time-stamp: 24 s, Heart Rate: 49.81 BPM
Time-stamp: 24 s, Heart Rate: 49.67 BPM
Time-stamp: 24 s, Heart Rate: 49.82 BPM
Time-stamp: 24 s, Heart Rate: 49.98 BPM
Time-stamp: 24 s, Heart Rate: 49.98 BPM
Time-stamp: 24 s, Heart Rate: 50.08 BPM
Time-stamp: 24 s, Heart Rate: 50.08 BPM
Time-stamp: 24 s, Heart Rate: 49.13 BPM
Time-stamp: 24 s, Heart Rate: 48.68 BPM
Time-stamp: 24 s, Heart Rate: 48.49 BPM
Time-stamp: 24 s, Heart Rate: 48.51 BPM
Time-stamp: 24 s, Heart Rate: 48.40 BPM
Time-stamp: 24 s, Heart Rate: 48.82 BPM
Time-stamp: 24 s, Heart Rate: 48.73 BPM
Time-stamp: 24 s, Heart Rate: 48.39 BPM
Time-stamp: 24 s, Heart Rate: 48.15 BPM
Time-stamp: 24 s, Heart Rate: 48.15 BPM
Time-stamp: 24 s, Heart Rate: 47.96 BPM
Time-stamp: 24 s, Heart Rate: 48.08 BPM
Time-stamp: 25 s, Heart Rate: 47.84 BPM
Time-stamp: 25 s, Heart Rate: 47.87 BPM
Time-stamp: 25 s, Heart Rate: 47.72 BPM
Time-stamp: 25 s, Heart Rate: 47.66 BPM
Time-stamp: 25 s, Heart Rate: 47.83 BPM
Time-stamp: 25 s, Heart Rate: 0.43 BPM
Time-stamp: 25 s, Heart Rate: 0.06 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
Time-stamp: 0 s, Heart Rate: 0.00 BPM
